"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","batch_size","dataset","epochs","hidden_layers","lr","val_split","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/val_loss"
"Reacher6_arch6_lr0.0001_batch32_valS0.05_relu","finished","-","","","2025-12-08T20:02:51.000Z","275","","relu","32","Reacher6","400","[107,107,107,107,107,107]","0.0001","0.05","92","0.00009999999747378752","0.4980410635471344","0.5837407112121582"
"Reacher6_arch6_lr0.0001_batch32_valS0.1_tanh","finished","-","","","2025-12-08T19:54:23.000Z","507","","tanh","32","Reacher6","400","[107,107,107,107,107,107]","0.0001","0.1","153","0.00009999999747378752","0.5164785981178284","0.5818992853164673"
"Reacher6_arch6_lr0.0001_batch32_valS0.1_relu","finished","-","","","2025-12-08T19:48:14.000Z","368","","relu","32","Reacher6","400","[107,107,107,107,107,107]","0.0001","0.1","107","0.00009999999747378752","0.4867273867130279","0.5978559255599976"
"Reacher6_arch6_lr0.0001_batch32_valS0.2_tanh","finished","-","","","2025-12-08T19:40:29.000Z","464","","tanh","32","Reacher6","400","[107,107,107,107,107,107]","0.0001","0.2","152","0.00009999999747378752","0.5122957229614258","0.5981761813163757"
"Reacher6_arch6_lr0.0001_batch32_valS0.2_relu","finished","-","","","2025-12-08T19:35:05.000Z","323","","relu","32","Reacher6","400","[107,107,107,107,107,107]","0.0001","0.2","111","0.00009999999747378752","0.47836676239967346","0.6112971901893616"
"Reacher6_arch6_lr0.0001_batch32_valS0.5_tanh","finished","-","","","2025-12-08T19:27:19.000Z","465","","tanh","32","Reacher6","400","[107,107,107,107,107,107]","0.0001","0.5","164","0.00009999999747378752","0.5066865086555481","0.6209480166435242"
"Reacher6_arch6_lr0.0001_batch32_valS0.5_relu","finished","-","","","2025-12-08T19:22:52.000Z","266","","relu","32","Reacher6","400","[107,107,107,107,107,107]","0.0001","0.5","95","0.00009999999747378752","0.4820363521575928","0.6328372955322266"
"Reacher6_arch6_lr0.0001_batch32_valS0.8_tanh","finished","-","","","2025-12-08T19:16:24.000Z","387","","tanh","32","Reacher6","400","[107,107,107,107,107,107]","0.0001","0.8","152","0.00009999999747378752","0.5219117999076843","0.6817124485969543"
"Reacher6_arch6_lr0.0001_batch32_valS0.8_relu","finished","-","","","2025-12-08T19:12:38.000Z","225","","relu","32","Reacher6","400","[107,107,107,107,107,107]","0.0001","0.8","86","0.00009999999747378752","0.48244258761405945","0.7417579293251038"
"Reacher6_arch6_lr0.0001_batch16_valS0.05_tanh","finished","-","","","2025-12-08T18:59:14.000Z","803","","tanh","16","Reacher6","400","[107,107,107,107,107,107]","0.0001","0.05","131","0.00009999999747378752","0.4963492453098297","0.5807352662086487"
