hidden_layers,lr,batch_size,val_split,activation,epochs,dataset,mse,r2
"[320, 320]",0.01,128,0.5,relu,400,Reacher6,0.0025321505528506853,0.3944709075305995
"[320, 320]",0.01,128,0.5,tanh,400,Reacher6,0.002736788200855631,0.3455784064797385
"[320, 320]",0.01,128,0.2,relu,400,Reacher6,0.0024796228603504353,0.40708570320867105
"[320, 320]",0.01,128,0.2,tanh,400,Reacher6,0.0026552519421743294,0.3652584366044777
"[320, 320]",0.01,128,0.1,relu,400,Reacher6,0.002506604773166509,0.4005410788323877
"[320, 320]",0.01,128,0.1,tanh,400,Reacher6,0.002651406435718982,0.3659808522753251
"[320, 320]",0.01,128,0.05,relu,400,Reacher6,0.002494252702883668,0.4034105532806725
"[320, 320]",0.01,128,0.05,tanh,400,Reacher6,0.0026624019365237696,0.36351911640570184
"[320, 320]",0.001,16,0.8,relu,400,Reacher6,0.0026581240439754773,0.3647028080654593
"[320, 320]",0.001,16,0.8,tanh,400,Reacher6,0.002930040494429646,0.2993469013740772
"[320, 320]",0.001,16,0.5,relu,400,Reacher6,0.0024607804471678267,0.4115238498443445
"[320, 320]",0.001,16,0.5,tanh,400,Reacher6,0.002655464731531805,0.364690567212057
"[320, 320]",0.001,16,0.2,relu,400,Reacher6,0.0024026522234913967,0.4253723894532066
"[320, 320]",0.001,16,0.2,tanh,400,Reacher6,0.0025427846383837497,0.3916814528137133
"[320, 320]",0.001,16,0.1,relu,400,Reacher6,0.002380425924700814,0.4305594050143842
"[320, 320]",0.001,16,0.1,tanh,400,Reacher6,0.002505988334019694,0.40057879856840634
"[320, 320]",0.001,16,0.05,relu,400,Reacher6,0.002397594157408083,0.4265702825685649
"[320, 320]",0.001,16,0.05,tanh,400,Reacher6,0.0024820036720899926,0.4063059437010761
"[320, 320]",0.001,32,0.8,relu,400,Reacher6,0.002628141624135365,0.3717525120286808
"[320, 320]",0.001,32,0.8,tanh,400,Reacher6,0.002893523123452165,0.30815717536798526
"[320, 320]",0.001,32,0.5,relu,400,Reacher6,0.0024633322752027286,0.4110197316411616
"[320, 320]",0.001,32,0.5,tanh,400,Reacher6,0.0026388123713660164,0.3686110211325721
"[320, 320]",0.001,32,0.2,relu,400,Reacher6,0.0024008147101177504,0.42583838721055794
"[320, 320]",0.001,32,0.2,tanh,400,Reacher6,0.0025806671007196002,0.38274233784225054
"[320, 320]",0.001,32,0.1,relu,400,Reacher6,0.002366755878238094,0.4339344279816344
"[320, 320]",0.001,32,0.1,tanh,400,Reacher6,0.0025393143343623594,0.3926625653342144
"[320, 320]",0.001,32,0.05,relu,400,Reacher6,0.002390365286694176,0.4283750395682521
"[320, 320]",0.001,32,0.05,tanh,400,Reacher6,0.0025363668733348493,0.39325377430877345
"[320, 320]",0.001,64,0.8,relu,400,Reacher6,0.002673610525208273,0.36116899448317535
"[320, 320]",0.001,64,0.8,tanh,400,Reacher6,0.0028509776238810174,0.31846565189909665
"[320, 320]",0.001,64,0.5,relu,400,Reacher6,0.0024550129651890206,0.41307303640731935
"[320, 320]",0.001,64,0.5,tanh,400,Reacher6,0.002650263776190185,0.366134338680802
"[320, 320]",0.001,64,0.2,relu,400,Reacher6,0.0023921472775429308,0.42788186906898185
"[320, 320]",0.001,64,0.2,tanh,400,Reacher6,0.0025288806588867952,0.3951349953416778
"[320, 320]",0.001,64,0.1,relu,400,Reacher6,0.0023603135236082615,0.4354223850735645
"[320, 320]",0.001,64,0.1,tanh,400,Reacher6,0.002516563286839361,0.3981332033138394
"[320, 320]",0.001,64,0.05,relu,400,Reacher6,0.0023691187325070987,0.4334685459466767
"[320, 320]",0.001,64,0.05,tanh,400,Reacher6,0.002500399494717103,0.40197028505954485
"[320, 320]",0.001,128,0.8,relu,400,Reacher6,0.0026951754283748605,0.3558933830225044
"[320, 320]",0.001,128,0.8,tanh,400,Reacher6,0.00281334356004799,0.3273319631798086
"[320, 320]",0.001,128,0.5,relu,400,Reacher6,0.0024852264472486995,0.40570308885508316
"[320, 320]",0.001,128,0.5,tanh,400,Reacher6,0.0026171393019200147,0.37397550377760475
"[320, 320]",0.001,128,0.2,relu,400,Reacher6,0.002392218358416237,0.42779776182048673
"[320, 320]",0.001,128,0.2,tanh,400,Reacher6,0.0024960681706946383,0.403098517823804
"[320, 320]",0.001,128,0.1,relu,400,Reacher6,0.002395118286221977,0.4272417747992412
"[320, 320]",0.001,128,0.1,tanh,400,Reacher6,0.00249192205785325,0.404175768121756
"[320, 320]",0.001,128,0.05,relu,400,Reacher6,0.0024111662970652484,0.4233501220325299
"[320, 320]",0.001,128,0.05,tanh,400,Reacher6,0.002462120401204604,0.41113902676091313
"[320, 320]",0.0001,16,0.8,relu,400,Reacher6,0.0027358821254595874,0.34612693602644545
"[320, 320]",0.0001,16,0.8,tanh,400,Reacher6,0.0027693314834047046,0.3378849690447971
"[320, 320]",0.0001,16,0.5,relu,400,Reacher6,0.002502911415404773,0.4016225713140767
"[320, 320]",0.0001,16,0.5,tanh,400,Reacher6,0.002572385975587754,0.3849217185785816
"[320, 320]",0.0001,16,0.2,relu,400,Reacher6,0.0024145205121807963,0.42256960494511125
"[320, 320]",0.0001,16,0.2,tanh,400,Reacher6,0.0024632969271172985,0.4107704291978622
"[320, 320]",0.0001,16,0.1,relu,400,Reacher6,0.002413259328461098,0.42284478489984734
"[320, 320]",0.0001,16,0.1,tanh,400,Reacher6,0.002468105081343801,0.4096196778151398
"[320, 320]",0.0001,16,0.05,relu,400,Reacher6,0.0024128027706072507,0.4230582799579847
"[320, 320]",0.0001,16,0.05,tanh,400,Reacher6,0.0024440103295818006,0.4153583381337054
"[320, 320]",0.0001,32,0.8,relu,400,Reacher6,0.002720722222262898,0.34972068207436974
"[320, 320]",0.0001,32,0.8,tanh,400,Reacher6,0.002743740526492193,0.3441674119109311
"[320, 320]",0.0001,32,0.5,relu,400,Reacher6,0.0025121809539502306,0.39940957648424563
"[320, 320]",0.0001,32,0.5,tanh,400,Reacher6,0.002550452172965479,0.39016501636846507
"[320, 320]",0.0001,32,0.2,relu,400,Reacher6,0.0024382253541472064,0.4169853044888474
"[320, 320]",0.0001,32,0.2,tanh,400,Reacher6,0.0024732653367931646,0.4086054348094723
"[320, 320]",0.0001,32,0.1,relu,400,Reacher6,0.0024298975919118996,0.419068360429584
"[320, 320]",0.0001,32,0.1,tanh,400,Reacher6,0.0024654857948395756,0.4102635672223259
"[320, 320]",0.0001,32,0.05,relu,400,Reacher6,0.0024246415474923236,0.42016408981226155
"[320, 320]",0.0001,32,0.05,tanh,400,Reacher6,0.002469503249638745,0.40934061209922906
"[320, 320]",0.0001,64,0.8,relu,400,Reacher6,0.002745743160846086,0.34383301972694175
"[320, 320]",0.0001,64,0.8,tanh,400,Reacher6,0.002738824441667868,0.3452553982259452
"[320, 320]",0.0001,64,0.5,relu,400,Reacher6,0.0025338034540201802,0.3943426062170641
"[320, 320]",0.0001,64,0.5,tanh,400,Reacher6,0.0025595604937047127,0.387901146843008
"[320, 320]",0.0001,64,0.2,relu,400,Reacher6,0.0024146233544314606,0.422534595655038
"[320, 320]",0.0001,64,0.2,tanh,400,Reacher6,0.0024589610766029644,0.4118963101950122
"[320, 320]",0.0001,64,0.1,relu,400,Reacher6,0.0024121356610527426,0.42325759171487326
"[320, 320]",0.0001,64,0.1,tanh,400,Reacher6,0.002451820744224509,0.41350588219424783
"[320, 320]",0.0001,64,0.05,relu,400,Reacher6,0.0024133666145040606,0.42296466005190725
"[320, 320]",0.0001,64,0.05,tanh,400,Reacher6,0.002451981052604461,0.4136378437204015
"[320, 320]",0.0001,128,0.8,relu,400,Reacher6,0.0027500097371554143,0.3428218447677825
"[320, 320]",0.0001,128,0.8,tanh,400,Reacher6,0.0027628464463160876,0.3396538982540336
"[320, 320]",0.0001,128,0.5,relu,400,Reacher6,0.002513117340547217,0.3991813095296308
"[320, 320]",0.0001,128,0.5,tanh,400,Reacher6,0.0025550968984085825,0.3889997859913117
"[320, 320]",0.0001,128,0.2,relu,400,Reacher6,0.0024435094977029764,0.415709253604215
"[320, 320]",0.0001,128,0.2,tanh,400,Reacher6,0.002447634584838413,0.41452231218733937
"[320, 320]",0.0001,128,0.1,relu,400,Reacher6,0.0024067653149090528,0.42458765499126483
"[320, 320]",0.0001,128,0.1,tanh,400,Reacher6,0.002426171297987349,0.41976564960036417
"[320, 320]",0.0001,128,0.05,relu,400,Reacher6,0.0024250953101878077,0.42006197513879345
"[320, 320]",0.0001,128,0.05,tanh,400,Reacher6,0.002406444321107478,0.42436789335312614
"[107, 107, 107, 107, 107, 107]",0.1,16,0.8,relu,400,Reacher6,0.004184392823400534,-0.0009017961016353585
"[107, 107, 107, 107, 107, 107]",0.1,16,0.8,tanh,400,Reacher6,0.006449156812334681,-0.54649656925306
"[107, 107, 107, 107, 107, 107]",0.1,16,0.5,relu,400,Reacher6,0.004188474228861595,-0.001870266866685455
"[107, 107, 107, 107, 107, 107]",0.1,16,0.5,tanh,400,Reacher6,0.006016938163245879,-0.43799944132234475
"[107, 107, 107, 107, 107, 107]",0.1,16,0.2,relu,400,Reacher6,0.0041851165138890025,-0.0010697050045682666
"[107, 107, 107, 107, 107, 107]",0.1,16,0.2,tanh,400,Reacher6,0.0060996459671986405,-0.4613615245746085
